Account Name,Account Type,Kind,Namespace,RoleRefName,RoleRefKind,apiGroups,Resources,Verbs
attachdetach-controller,ServiceAccount,ClusterRoleBinding,,system:controller:attachdetach-controller,ClusterRole,,events,"create, patch, update"
,,,,,,,nodes,"get, list, watch"
,,,,,,,nodes/status,"patch, update"
,,,,,,,persistentvolumeclaims,"list, watch"
,,,,,,,persistentvolumes,"list, watch"
,,,,,,,pods,"list, watch"
,,,,,,events.k8s.io,events,"create, patch, update"
,,,,,,storage.k8s.io,csidrivers,"get, list, watch"
,,,,,,storage.k8s.io,csinodes,"get, list, watch"
,,,,,,storage.k8s.io,volumeattachments,"create, delete, get, list, watch"
bootstrap-signer,ServiceAccount,RoleBinding,kube-public,system:controller:bootstrap-signer,Role,,configmaps,"get, list, watch"
,,,,,,,configmaps.cluster-info,update
,,,,,,,events,"create, patch, update"
,,,,,,events.k8s.io,events,"create, patch, update"
bootstrap-signer,ServiceAccount,RoleBinding,kube-system,system:controller:bootstrap-signer,Role,,configmaps,"get, list, watch"
,,,,,,,configmaps.cluster-info,update
,,,,,,,events,"create, patch, update"
,,,,,,events.k8s.io,events,"create, patch, update"
calico-kube-controllers,ServiceAccount,ClusterRoleBinding,,calico-kube-controllers,ClusterRole,,nodes,"get, list, watch"
,,,,,,,pods,"get, list, watch"
,,,,,,crd.projectcalico.org,blockaffinities,"create, delete, get, list, update, watch"
,,,,,,crd.projectcalico.org,clusterinformations,"create, get, list, update, watch"
,,,,,,crd.projectcalico.org,hostendpoints,"create, delete, get, list, update"
,,,,,,crd.projectcalico.org,ipamblocks,"create, delete, get, list, update, watch"
,,,,,,crd.projectcalico.org,ipamhandles,"create, delete, get, list, update, watch"
,,,,,,crd.projectcalico.org,ippools,"list, watch"
,,,,,,crd.projectcalico.org,ipreservations,list
,,,,,,crd.projectcalico.org,kubecontrollersconfigurations,"create, get, update, watch"
calico-node,ServiceAccount,ClusterRoleBinding,,calico-node,ClusterRole,,configmaps,get
,,,,,,,endpoints,"get, list, watch"
,,,,,,,namespaces,"get, list, watch"
,,,,,,,nodes,"get, list, watch"
,,,,,,,nodes/status,"patch, update"
,,,,,,,pods,"get, list, watch"
,,,,,,,pods/status,patch
,,,,,,,serviceaccounts,"list, watch"
,,,,,,,serviceaccounts/token.calico-node,create
,,,,,,,services,"get, list, watch"
,,,,,,apps,daemonsets,get
,,,,,,crd.projectcalico.org,blockaffinities,"create, delete, get, list, update, watch"
,,,,,,crd.projectcalico.org,globalnetworkpolicies,"get, list, watch"
,,,,,,crd.projectcalico.org,bgppeers,"create, get, list, update, watch"
,,,,,,crd.projectcalico.org,networksets,"get, list, watch"
,,,,,,crd.projectcalico.org,caliconodestatuses,"get, list, update, watch"
,,,,,,crd.projectcalico.org,clusterinformations,"create, get, list, update, watch"
,,,,,,crd.projectcalico.org,felixconfigurations,"create, get, list, update, watch"
,,,,,,crd.projectcalico.org,globalbgpconfigs,"get, list, watch"
,,,,,,crd.projectcalico.org,globalfelixconfigs,"get, list, watch"
,,,,,,crd.projectcalico.org,bgpconfigurations,"create, get, list, update, watch"
,,,,,,crd.projectcalico.org,globalnetworksets,"get, list, watch"
,,,,,,crd.projectcalico.org,hostendpoints,"get, list, watch"
,,,,,,crd.projectcalico.org,ipamblocks,"create, delete, get, list, update, watch"
,,,,,,crd.projectcalico.org,ipamconfigs,"create, get"
